Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Blood,Brad Anderson,108 min,2022,4,8,6,6,10,7,7,9,6,6,7,5,4,9,10,4,4,3,7,7
Infiesto,Patxi Amezcua,96 min,2023,8,3,10,8,9,3,10,7,10,10,10,10,6,7,5,5,5,6,7,6
Amsterdam,David O. Russell,134 min,2022,5,6,3,9,4,7,9,10,4,5,6,8,3,6,6,10,8,9,10,3
The Batman,Matt Reeves,176 min,2022,3,7,3,10,9,5,3,8,8,3,4,6,4,4,5,6,7,10,9,5
Baby Ruby,Bess Wohl,93 min,2022,3,10,3,6,9,8,8,3,3,7,6,9,3,9,8,5,6,7,8,9
Where the Crawdads Sing,Olivia Newman,125 min,2022,6,3,6,9,8,3,10,7,4,6,5,7,5,3,6,7,3,10,3,3
Knives Out,Rian Johnson,130 min,2019,8,8,3,7,10,4,6,10,6,10,10,3,9,8,7,6,10,5,4,9
Barbarian,Zach Cregger,102 min,2022,5,7,3,9,4,7,3,10,3,4,5,7,7,6,9,8,6,7,9,4
Missing,Nicholas D. Johnson,111 min,2023,6,5,9,7,10,10,6,6,3,6,5,10,8,9,7,5,3,9,5,10
Don't Worry Darling,Olivia Wilde,123 min,2022,3,7,3,10,5,4,5,3,5,7,6,9,5,4,9,6,7,8,8,9
Operation Fortune: Ruse de guerre,Guy Ritchie,114 min,2023,9,6,8,7,3,10,9,9,8,8,8,10,8,9,3,8,5,10,7,5
Vadh,"Jaspal Singh Sandhu, 
Rajeev Barnwal",110 min,2022,9,3,5,10,5,10,8,7,8,5,3,5,5,4,6,5,3,3,3,10
Jurassic World: Dominion,Colin Trevorrow,147 min,2022,5,6,10,9,3,10,5,9,4,9,9,6,7,8,10,7,8,6,4,10
Vengeance,B.J. Novak,107 min,2022,10,4,10,8,9,6,6,3,3,8,10,4,6,3,8,5,8,8,3,9
Smile,Parker Finn,115 min,2022,9,6,8,7,7,9,7,6,7,9,6,3,5,6,6,10,9,4,9,9
The Hunger Games,Gary Ross,142 min,2012,9,7,4,4,9,5,3,4,9,8,6,8,6,6,3,10,8,8,5,8
The Northman,Robert Eggers,137 min,2022,10,7,8,6,10,8,4,10,6,10,3,10,10,5,9,6,4,3,7,3
Fall,Scott Mann,107 min,2022,8,6,7,3,10,5,9,9,6,5,9,7,5,7,5,6,3,8,8,3
Nope,Jordan Peele,130 min,2022,4,7,6,10,5,10,7,6,8,5,4,7,4,8,7,6,3,8,5,9
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,8,4,10,7,5,9,5,9,7,3,6,3,5,7,6,10,9,7,8,3
Cocaine Bear,Guy Ritchie,95 min,2023,3,10,4,6,7,5,8,9,5,3,5,10,8,8,6,5,8,9,5,3
Jeepers Creepers: Reborn,Timo Vuorensola,88 min,2022,3,5,10,4,8,6,5,6,10,9,4,5,9,10,3,9,9,10,9,8
Scream,Matt Bettinelli-Olpin,114 min,2022,8,6,7,4,3,6,9,10,5,5,4,7,3,4,9,6,8,9,3,5
The Locksmith,Nicolas Harvard,92 min,2023,4,7,10,10,9,7,4,3,5,4,10,7,9,9,7,10,3,4,8,6
The Dark Knight,Christopher Nolan,152 min,2008,5,7,5,8,6,9,4,10,7,8,9,4,9,8,4,10,5,8,7,6
Inception,Christopher Nolan,148 min,2010,6,10,5,6,8,10,4,10,7,4,3,7,8,8,6,4,4,5,7,4
Black Swan,Darren Aronofsky,108 min,2010,6,4,7,5,4,7,9,10,5,5,6,4,4,3,9,3,7,8,5,8
John Wick: Chapter 4,Chad Stahelski,169 min,2023,10,9,3,9,7,7,4,3,5,7,7,7,3,6,5,8,4,8,8,3
Old,M. Night Shyamalan,108 min,2021,9,6,5,8,10,4,3,5,3,10,9,6,10,6,8,3,7,8,5,10
Midsommar,Ari Aster,148 min,2019,8,5,9,6,6,10,6,9,10,4,7,9,6,3,8,9,10,5,6,3
Decision to Leave,Park Chan-wook,139 min,2022,10,4,8,3,6,5,10,3,8,5,9,10,3,3,6,10,8,3,6,9
65,Scott Beck,153 min,2023,3,10,7,10,5,3,7,6,6,5,3,10,4,7,6,9,6,8,8,8
Little Dixie,John Swab,105 min,2023,5,8,6,10,4,10,4,8,5,5,10,9,4,6,10,8,6,10,8,10
The Black Phone,Scott Derrickson,103 min,2021,8,5,8,4,4,4,7,5,6,6,6,6,6,8,3,5,3,10,9,9
An Action Hero,Anirudh Iyer,130 min,2022,5,5,7,6,5,8,10,4,5,3,8,9,3,6,10,3,10,8,10,9
The Boogeyman,Rob Savage,100 min,2023,9,4,3,3,4,9,6,10,4,6,7,4,10,7,6,8,10,7,8,7
Killers of the Flower Moon,Martin Scorsese,206 min,2023,5,5,10,9,6,9,3,6,10,10,9,10,8,6,5,4,3,7,7,4
Luther: The Fallen Sun,Jamie Payne,129 min,2023,9,3,7,9,6,9,7,9,4,8,3,5,10,9,7,4,6,10,8,4
John Wick,Chad Stahelski,101 min,2014,9,6,10,9,8,4,10,9,8,4,7,3,10,10,10,9,8,10,5,5
Blade Runner 2049,Denis Villeneuve,164 min,2017,7,5,7,10,4,8,8,5,6,5,8,5,3,8,10,4,10,4,8,5
Hereditary,Ari Aster,127 min,2018,8,3,7,3,4,4,5,8,7,6,5,4,6,3,5,8,8,5,4,3
F9: The Fast Saga,Justin Lin,143 min,2021,10,9,6,5,8,3,10,4,6,3,5,8,9,8,8,7,8,4,6,6
Parasite,Bong Joon Ho,132 min,2019,9,5,3,10,8,5,9,10,9,7,10,4,7,10,5,7,6,3,7,6
Violent Night,Tommy Wirkola,112 min,2022,10,7,7,10,8,10,4,4,3,9,8,8,8,5,8,6,6,7,8,10
Last Seen Alive,Brian Goodman,95 min,2022,10,5,9,7,9,5,6,7,10,7,8,7,6,4,10,5,3,6,9,4
Nobody,Ilya Naishuller,92 min,2021,10,8,6,8,8,10,8,6,3,8,5,6,5,9,6,4,7,8,9,5
The Gray Man,Anthony Russo,122 min,2022,4,9,10,4,10,9,8,9,10,8,9,7,10,3,9,4,9,10,8,6
Prisoners,Denis Villeneuve,153 min,2013,8,5,7,9,5,9,10,4,3,8,6,5,8,3,8,9,4,8,9,10
Joker,Todd Phillips,122 min,2019,6,6,9,8,9,10,9,9,5,8,6,10,5,8,7,10,5,5,5,6
The Fast and the Furious,Rob Cohen,106 min,2001,7,6,3,10,5,3,10,8,7,9,5,8,3,3,5,10,7,7,5,3
The Expendables 4,Scott Waugh,103 min,2023,5,3,9,5,8,7,6,9,6,8,7,9,9,4,9,9,5,9,4,10
In Bruges,Martin McDonagh,107 min,2008,7,3,4,3,7,9,3,3,6,7,3,4,4,6,6,7,9,10,7,8
No Country for Old Men,Ethan Coen,122 min,2007,7,8,4,7,9,3,7,10,5,6,3,3,8,6,6,6,7,4,8,5
Emily the Criminal,John Patton Ford,97 min,2022,3,5,3,5,3,5,5,8,5,9,8,7,6,3,4,8,6,3,10,5
On the Line,Romuald Boulanger,104 min,2022,6,6,3,4,4,5,10,6,10,8,10,7,8,9,3,7,4,7,10,9
No Time to Die,Cary Joji Fukunaga,163 min,2021,10,6,8,8,3,5,5,4,5,6,10,6,4,8,9,9,9,10,8,9
Shutter Island,Martin Scorsese,138 min,2010,9,5,9,6,6,9,4,6,10,5,4,10,3,4,4,9,10,5,8,3
Se7en,David Fincher,127 min,1995,10,5,7,3,10,3,6,8,3,4,4,5,5,10,10,8,10,4,4,7
Tenet,Christopher Nolan,150 min,2020,10,9,7,6,10,6,9,7,6,4,9,10,3,9,6,8,7,6,3,9
Luckiest Girl Alive,Mike Barker,113 min,2022,6,3,9,9,5,3,4,8,8,10,9,8,6,10,4,7,3,5,9,4
Shazam! Fury of the Gods,David F. Sandberg,130 min,2023,5,3,9,6,8,4,7,6,3,3,10,7,3,4,4,7,9,5,7,8
Split,M. Night Shyamalan,117 min,2016,3,10,8,8,8,7,5,6,3,7,10,6,3,9,4,4,9,8,9,7
