Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Braveheart,Mel Gibson,178 min,1995,9,10,4,10,6,3,9,4,6,3,3,9,8,6,7,9,10,4,10,8
Life Is Beautiful,Roberto Benigni,116 min,1997,4,10,8,8,6,9,9,6,6,10,8,3,6,5,8,8,6,4,4,9
The Pianist,Roman Polanski,150 min,2002,5,3,9,3,4,10,3,5,9,9,3,3,6,5,10,7,8,7,8,6
Operation Mincemeat,John Madden,128 min,2021,3,7,8,10,4,5,10,5,3,10,5,5,5,3,10,4,3,10,9,5
Come and See,Elem Klimov,142 min,1985,10,9,7,6,9,9,10,7,10,7,5,7,9,10,10,3,8,7,7,6
The King,David Michôd,140 min,2019,3,10,5,3,7,5,7,7,8,3,5,10,9,4,4,5,10,5,10,10
The Imitation Game,Morten Tyldum,114 min,2014,3,10,7,8,7,5,10,6,5,8,7,9,8,3,10,9,6,9,9,4
Casablanca,Michael Curtiz,102 min,1942,5,5,7,4,4,6,6,5,6,9,8,7,9,3,3,6,10,10,9,6
Full Metal Jacket,Stanley Kubrick,116 min,1987,8,5,9,6,3,4,6,8,9,5,6,7,9,4,7,9,6,4,4,4
Wonder Woman,Patty Jenkins,141 min,2017,7,7,8,10,3,3,4,9,7,7,4,6,9,9,6,9,10,7,3,8
Kingdom of Heaven,Ridley Scott,144 min,2005,10,3,6,9,8,5,7,6,6,6,4,4,3,8,6,7,8,5,5,8
Tropic Thunder,Ben Stiller,107 min,2008,6,9,3,6,10,6,7,7,10,10,8,4,7,5,9,4,10,10,5,8
Malena,Giuseppe Tornatore,108 min,2000,7,3,5,7,6,3,5,5,6,8,8,10,8,4,6,6,9,3,9,7
Red Dawn,John Milius,114 min,1984,3,3,3,4,10,7,7,3,7,10,8,10,8,6,4,7,10,9,9,4
All Quiet on the Western Front,Lewis Milestone,152 min,1930,5,10,7,7,9,6,5,5,8,6,10,6,5,4,5,6,8,6,5,5
Black Hawk Down,Ridley Scott,144 min,2001,4,10,3,5,5,3,4,4,3,9,3,3,5,6,4,4,10,6,6,8
Pan's Labyrinth,Guillermo del Toro,118 min,2006,9,7,4,9,4,8,8,4,5,9,10,7,7,3,4,5,10,4,3,4
Army of the Dead,Zack Snyder,148 min,2021,10,8,7,6,3,5,4,6,3,5,7,7,7,9,9,9,6,3,3,10
The Forgotten Battle,Matthijs van Heijningen Jr.,124 min,2020,3,5,6,9,10,10,7,10,5,5,4,3,5,6,9,3,9,3,8,9
Gone with the Wind,Victor Fleming,238 min,1939,9,10,8,10,6,4,10,7,6,7,5,8,10,10,8,4,5,5,9,8
Pearl Harbor,Michael Bay,183 min,2001,7,4,7,3,9,5,8,10,9,7,6,10,8,5,5,7,4,3,4,10
The Deer Hunter,Michael Cimino,183 min,1978,9,10,5,4,5,8,5,4,6,5,3,6,7,7,3,8,6,3,6,4
13 Hours,Michael Bay,144 min,2016,5,10,10,5,6,5,9,9,8,8,3,4,3,8,8,8,6,3,9,3
Platoon,Oliver Stone,120 min,1986,9,7,10,9,4,6,10,7,5,8,3,10,8,8,10,5,10,6,9,6
Lawrence of Arabia,David Lean,218 min,1962,4,5,3,7,5,7,10,10,5,6,7,7,10,10,3,5,3,5,8,6
Zero Dark Thirty,Kathryn Bigelow,157 min,2012,9,10,5,9,9,5,8,4,4,9,4,10,3,7,5,9,9,5,3,7
The Last of the Mohicans,Michael Mann,112 min,1992,7,5,6,9,5,7,7,9,10,3,8,3,6,5,3,7,8,3,8,6
Downfall,Oliver Hirschbiegel,156 min,2004,3,4,10,5,6,6,5,6,5,6,8,7,9,10,6,8,10,3,9,5
The Boy in the Striped Pajamas,Mark Herman,94 min,2008,6,3,9,3,10,8,5,7,10,10,9,6,3,10,3,7,4,8,3,7
The Hurt Locker,Kathryn Bigelow,131 min,2008,4,3,10,10,8,9,9,6,3,5,3,3,8,10,10,5,3,9,6,4
The Thin Red Line,Terrence Malick,170 min,1998,9,5,3,4,10,10,6,5,5,8,6,7,9,6,3,10,4,5,6,7
Grave of the Fireflies,Isao Takahata,89 min,1988,7,9,9,8,10,3,3,6,10,6,6,6,8,7,8,5,10,9,7,3
Greyhound,Aaron Schneider,91 min,2020,6,9,9,4,9,6,7,10,9,6,4,10,8,4,3,3,8,9,9,7
Lone Survivor,Peter Berg,121 min,2013,6,9,9,4,7,7,6,8,8,5,8,3,4,9,9,7,4,4,10,6
The Post,Steven Spielberg,116 min,2017,8,7,7,10,7,10,9,7,3,10,3,5,6,8,8,8,7,10,10,4
Unbroken,Angelina Jolie,137 min,2014,4,9,3,5,6,8,5,7,4,9,8,7,6,10,5,4,6,5,10,7
Napoleon,Ridley Scott,158 min,2023,6,10,3,10,4,3,7,6,10,5,8,10,7,5,9,4,7,7,6,4
The Greatest Beer Run Ever,Peter Farrelly,126 min,2022,5,5,4,7,10,10,9,3,8,10,8,3,7,9,7,9,9,3,3,5
Mulan,Tony Bancroft,87 min,1998,9,7,3,10,4,8,7,6,9,7,10,7,3,6,8,5,4,4,5,3
American Sniper,Clint Eastwood,133 min,2014,4,5,7,7,5,8,10,3,5,10,10,10,10,3,10,8,5,9,3,6
Midway,Roland Emmerich,138 min,2019,5,6,8,8,6,8,10,6,4,9,3,8,7,5,3,8,8,10,10,6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,95 min,1964,9,10,9,4,6,8,3,5,7,8,5,3,8,10,4,6,10,7,7,3
Master and Commander: The Far Side of the World,Peter Weir,138 min,2003,3,7,4,9,7,3,9,10,5,6,5,3,10,9,6,10,9,7,4,10
The Patriot,Roland Emmerich,165 min,2000,9,7,4,3,6,3,3,7,5,7,8,10,8,10,7,9,3,8,5,4
The English Patient,Anthony Minghella,162 min,1996,10,6,6,4,4,10,7,10,8,7,7,3,9,7,3,9,7,7,3,10
War Dogs,Todd Phillips,114 min,2016,3,4,5,7,3,3,9,8,5,10,6,3,4,3,9,8,6,6,5,10
Legends of the Fall,Edward Zwick,133 min,1994,8,9,8,9,9,4,8,5,3,7,6,6,10,8,5,7,9,8,5,6
Bridge of Spies,Steven Spielberg,142 min,2015,3,8,8,10,8,10,8,9,9,8,9,9,8,6,9,4,7,5,4,4
Darkest Hour,Joe Wright,125 min,2017,5,10,5,10,5,4,10,7,6,7,4,4,5,10,7,10,6,8,4,4
Lincoln,Steven Spielberg,150 min,2012,4,5,4,7,10,8,5,6,6,6,9,9,8,6,9,4,5,10,8,4
Crimson Tide,Tony Scott,116 min,1995,7,7,4,3,5,4,4,10,9,10,8,7,10,4,5,3,9,7,7,9
The Great Escape,John Sturges,172 min,1963,10,7,8,9,6,8,9,6,9,4,6,8,3,7,9,7,5,9,9,8
Behind Enemy Lines,John Moore,106 min,2001,8,3,4,10,8,8,10,8,9,6,10,5,10,6,9,3,3,3,6,4
Outlaw King,David Mackenzie,121 min,2018,3,4,7,4,8,5,4,9,10,4,6,8,3,5,8,10,10,6,3,7
Stripes,Ivan Reitman,106 min,1981,9,9,5,8,10,3,10,9,10,3,9,3,5,3,6,10,10,10,3,7
Defiance,Edward Zwick,137 min,2008,8,8,7,7,10,4,8,5,9,4,4,9,10,6,6,9,3,10,8,9
Alexander,Oliver Stone,175 min,2004,5,10,6,9,3,5,3,5,4,9,10,4,3,6,6,8,8,10,6,9
The Boat,Wolfgang Petersen,149 min,1981,9,4,5,10,9,8,6,7,9,7,3,6,6,6,5,4,7,8,9,6
Doctor Zhivago,David Lean,197 min,1965,6,3,10,3,7,5,7,6,9,5,6,6,10,10,5,10,4,9,3,10
12 Strong,Nicolai Fuglsig,130 min,2018,10,8,10,7,10,6,7,9,6,8,7,7,8,9,5,10,9,8,8,3
The Courier,Dominic Cooke,112 min,2020,7,6,7,6,8,6,3,9,7,6,7,8,10,3,6,8,4,4,8,9
Empire of the Sun,Steven Spielberg,153 min,1987,9,4,9,5,9,10,10,4,3,10,3,10,5,3,6,5,9,8,9,5
Barry Lyndon,Stanley Kubrick,185 min,1975,6,10,3,3,9,3,9,7,8,10,3,4,8,4,10,6,10,3,3,9
