Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
The Departed,Martin Scorsese,151 min,2006,4,9,4,3,8,7,10,4,7,9,8,10,9,9,7,7,10,8,5,5
Transfusion,Matt Nable,106 min,2023,7,7,10,8,9,5,7,8,6,9,10,5,9,7,6,10,10,6,5,8
Kingsman: The Golden Circle,Matthew Vaughn,141 min,2017,9,5,9,9,7,8,7,3,9,3,5,7,3,10,9,4,6,9,7,4
The Grand Budapest Hotel,Wes Anderson,99 min,2014,10,5,6,9,6,8,3,9,10,8,5,4,9,6,9,5,6,9,3,9
See How They Run,Tom George,98 min,2022,10,9,7,5,5,7,8,10,5,3,7,7,10,7,4,3,4,3,3,7
The Green Mile,Frank Darabont,189 min,1999,7,5,10,3,4,3,3,4,5,6,9,5,3,4,10,6,6,6,8,6
The Good Nurse,Tobias Lindholm,121 min,2022,4,8,8,3,3,9,8,9,5,5,9,10,9,7,6,6,7,8,4,6
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,115 min,2017,8,9,5,10,10,9,5,10,7,8,5,6,8,8,10,8,5,8,10,7
The Godfather Part II,Francis Ford Coppola,202 min,1974,8,10,9,8,6,7,5,4,10,10,10,6,10,5,8,3,5,7,9,3
Irreversible,Gaspar Noé,97 min,2002,5,9,4,10,10,10,3,4,10,7,4,6,8,10,6,4,8,10,9,8
The Stranger,Thomas M. Wright,117 min,2022,7,5,5,9,5,6,8,10,8,5,6,6,9,4,4,4,4,4,3,7
Léon: The Professional,Luc Besson,110 min,1994,10,7,8,5,4,9,4,6,9,6,10,5,4,7,8,4,10,5,4,8
Murder Mystery,Kyle Newacheck,97 min,2019,7,7,10,10,3,10,4,6,6,7,10,7,10,9,7,9,6,10,4,5
Sharper,Benjamin Caron,116 min,2023,5,5,5,10,6,9,5,6,3,9,9,3,9,10,5,3,4,4,6,8
White Chicks,Keenen Ivory Wayans,109 min,2004,10,8,8,10,6,3,8,6,9,4,4,5,7,5,8,4,4,7,7,10
12 Angry Men,Sidney Lumet,96 min,1957,6,10,9,9,7,5,9,3,7,10,4,4,5,7,10,3,6,9,7,3
Sicario,Denis Villeneuve,121 min,2015,8,10,4,8,7,10,3,9,3,9,6,4,9,3,4,8,7,3,9,6
The Little Things,John Lee Hancock,128 min,2021,10,10,10,8,10,3,10,7,8,8,5,5,7,5,7,9,6,10,6,9
Scarface,Brian De Palma,170 min,1983,10,3,9,5,4,8,5,7,4,7,8,4,4,4,4,10,9,7,3,5
A Clockwork Orange,Stanley Kubrick,136 min,1971,4,6,10,3,6,10,10,7,3,4,5,6,10,4,7,4,4,5,4,10
Promising Young Woman,Emerald Fennell,113 min,2020,8,6,5,10,7,5,8,10,4,6,3,8,5,8,8,9,10,10,4,9
From Dusk Till Dawn,Robert Rodriguez,108 min,1996,7,8,7,7,4,6,5,4,9,8,5,8,9,9,3,3,7,5,3,6
The Outfit,Graham Moore,105 min,2022,9,4,3,4,7,10,9,4,6,3,7,3,6,7,9,9,7,7,7,6
The Outsiders,Francis Ford Coppola,91 min,1983,6,9,7,7,9,6,7,8,6,8,8,6,5,6,3,8,4,3,10,3
Murder Mystery 2,Jeremy Garelick,89min,2023,9,7,7,7,5,7,10,3,10,7,10,4,6,4,3,6,6,7,10,9
The Bad Guys,Pierre Perifel,100 min,2022,6,6,9,7,8,6,5,3,3,3,5,8,3,9,5,9,7,9,6,5
Poker Face,Russell Crowe,94 min,2022,3,6,9,9,8,4,4,6,6,6,6,5,5,5,10,6,9,10,7,7
The Usual Suspects,Bryan Singer,106 min,1995,9,3,5,6,8,6,9,6,4,10,10,6,4,7,8,4,4,4,5,4
John Wick: Chapter 3 - Parabellum,Chad Stahelski,130 min,2019,7,8,9,5,4,10,6,6,10,7,10,9,8,5,3,8,7,4,6,9
The Irishman,Martin Scorsese,209 min,2019,4,6,5,3,9,9,7,6,7,4,4,7,4,5,4,8,3,4,10,3
Baywatch,Seth Gordon,116 min,2017,10,9,9,4,10,3,7,5,3,7,4,8,3,8,5,5,6,8,8,5
Wrath of Man,Guy Ritchie,119 min,2021,3,8,6,10,8,7,3,6,10,6,3,4,6,5,4,8,7,9,9,3
Reservoir Dogs,Quentin Tarantino,99 min,1992,8,7,3,7,6,10,5,8,8,5,4,7,10,9,4,5,10,4,7,8
Mystic River,Clint Eastwood,138 min,2003,7,8,6,4,3,8,5,4,5,7,7,8,3,9,6,5,9,4,7,3
Enola Holmes 2,Harry Bradbeer,129 min,2022,9,5,10,9,9,4,10,10,6,8,9,9,5,6,8,5,5,6,4,4
The Big Lebowski,"Joel Coen, 
Ethan Coen",117 min,1998,9,9,6,8,9,6,10,6,6,9,8,9,8,4,4,7,7,10,3,3
Marlowe,Neil Jordan,110 min,2022,8,6,9,10,10,7,4,9,8,4,7,4,9,4,6,7,6,5,6,7
Snatch,Guy Ritchie,102 min,2000,4,3,5,3,4,8,7,5,8,4,9,8,8,9,8,6,8,9,3,3
Hell or High Water,David Mackenzie ,102min,2016,8,4,6,10,4,7,4,5,5,10,8,10,9,5,10,6,8,4,8,6
