Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
The Boogeyman,Rob Savage,98mn,2023,9,4,6,7,7,6,6,4,6,7,3,6,8,8,5,7,4,5,3,9
Hereditary,Ari Aster,127mn,2018,4,4,8,3,5,7,8,7,6,10,4,4,4,4,4,3,9,4,10,8
White Noise,Noah Baumbach,136mn,2022,7,10,10,6,6,4,7,10,9,6,8,3,5,10,5,9,6,4,9,5
Venus,Jaume Balague ró,100mn,2022,4,6,7,5,10,10,5,6,4,6,5,6,5,7,7,6,5,8,4,6
Terrifier 2,Damien Leone,138mn,2022,7,8,6,4,6,9,8,9,10,10,7,6,4,6,3,8,6,3,8,9
Split,M. Night Shyama lan,117mn,2022,4,5,6,7,5,3,6,5,9,7,6,7,3,8,9,8,5,8,6,5
Sick,John Hyams,83mn,2022,7,3,3,5,8,9,5,9,8,10,7,8,3,10,10,9,3,5,9,3
Get Out,Jorden Peele,104mn,2017,5,10,6,7,5,7,9,9,9,9,5,6,6,4,5,3,9,10,10,8
Scream,Wes Craven,111mn,1996,10,4,5,4,9,4,4,10,6,10,8,3,7,6,10,3,7,5,9,6
Men,Alex Garland,100mn,2022,10,9,5,9,8,5,5,9,3,3,5,3,7,7,8,8,6,10,5,8
Bodies Bodies Bodies,Halina Reijn,94mn,2022,9,9,5,4,3,8,8,10,6,4,10,6,9,4,7,7,7,10,9,6
Doctor Strange in the Multiverse of Madness,Sam Raimi,126mn,2022,4,7,6,4,10,7,6,7,3,3,3,6,9,3,8,5,9,3,3,6
Beast,Baltasar Kormákur,93mn,2022,3,5,4,8,3,9,3,5,8,5,4,6,3,8,9,9,7,7,7,7
Alien,Ridley Scott,117mn,1979,6,3,6,8,4,8,10,10,7,3,5,8,9,9,4,5,9,10,3,6
Evil Dead Rise,Lee Cronin,96mn,2023,10,5,9,3,4,10,5,8,8,4,7,7,8,4,7,5,8,10,7,7
Prey,Dan Trachte,100mn,2022,9,5,10,3,3,4,5,3,10,10,6,3,10,3,9,7,5,4,3,9
The Visit,M. Night Shyama lan,94mn,2015,4,7,4,9,3,7,4,4,7,5,7,4,9,7,5,4,10,10,10,4
Last Night in Soho,Edgar Wright,116mn,2021,6,9,6,3,7,8,3,7,4,5,7,8,9,10,6,10,7,10,7,7
The Cabin in the Woods,Drew Goddard,95mn,2012,3,7,3,6,7,6,9,7,6,5,6,7,5,5,3,7,7,6,10,4
Bone Tomahawk,S. Craig Zahler,132mn,2015,10,5,4,8,6,3,9,6,9,6,8,6,10,8,8,9,9,10,6,9
The Invitation,Karyn Kusama,100mn,2015,4,6,3,6,4,4,5,7,8,8,6,6,6,10,10,3,4,3,7,9
Creature from the Black Lagoon,Jack Arnold,79mn,1954,4,10,9,10,6,7,10,7,7,7,10,5,8,10,8,6,6,7,8,4
From Dusk Till Dawn,Robert Rodriguez,108mn,1996,7,9,8,7,5,8,7,9,3,10,10,8,8,3,10,10,8,6,8,3
The Shining,Stanley Kubrick,146mn,1980,6,8,6,7,3,10,6,7,9,3,10,4,5,6,6,9,3,4,5,10
The Outwaters,Robbie Banfitch,100mn,2022,4,4,10,6,10,4,10,3,10,4,6,5,5,6,9,10,9,3,7,7
A Quiet Place,John Krasinski,90mn,2018,3,9,10,8,4,10,4,4,9,6,4,5,7,5,5,8,4,7,8,5
A Serbian Film,Srdan Spasojevic,104mn,2010,5,3,9,9,6,8,4,4,3,6,7,9,5,5,8,5,7,10,9,5
It,Andy Muschietti,135mn,2017,3,10,10,5,10,7,9,10,8,6,7,7,8,10,8,7,5,6,4,5
She Came from the Woods,Erik Bloomquist,101mn,2022,8,8,6,5,4,10,4,5,3,10,7,5,4,7,4,3,5,6,3,8
The Meg 2: The Trench,Ben Wheatley,116mn,2023,5,10,7,8,10,3,8,3,6,9,7,5,4,7,7,4,4,7,4,3
Tusk,Kevin smith,102mn,2014,9,10,10,8,5,9,3,9,3,6,4,5,4,5,9,5,3,4,4,8
Orphan: First Kill,William brentbell,99mn,2022,3,10,5,9,9,3,9,5,10,6,7,4,8,5,5,8,3,8,3,5
Crimes of the Future,David Croenbreg,107mn,2022,8,4,4,3,10,4,5,3,7,7,8,3,7,10,4,10,8,10,4,4
Hidden,"Matt Duffer, rose duffer",84mn,2015,8,9,7,6,6,7,8,3,4,10,3,4,10,4,7,3,10,5,10,7
The Killing of a Sacred Deer,Yorgos Lanthimos,121mn,2017,6,4,10,4,6,7,8,4,5,5,5,8,5,10,7,10,5,3,4,9
Glass,M. Night Shyama lan,129mn,2019,3,9,7,6,9,9,9,3,5,6,3,9,5,4,10,8,8,7,9,9
Ready or Not,"Matt Bettinell I-Olpin, Tyler Gillett",95mn,2019,5,3,6,4,3,9,4,10,8,5,6,5,3,9,7,3,6,8,8,5
The VVitch: A New-England Folktale,Robert Eggers,92mn,2015,9,3,9,4,8,9,3,9,6,6,8,3,6,5,4,4,8,5,9,7
Come Play,Jacob Chase,96mn,2020,3,3,8,8,5,3,3,4,4,9,4,7,6,8,8,6,3,5,10,9
Speak No Evil,Christian Tafdrup,97mn,2022,10,10,9,9,7,10,9,5,10,9,7,4,6,6,5,4,6,3,9,7
Us,Jorden Peele,116mn,2019,6,6,10,5,7,4,10,7,5,10,4,9,3,5,6,5,4,7,10,9
Candy Land,John Swab,93mn,2022,10,6,7,4,9,8,6,7,7,8,5,4,8,4,3,6,8,10,3,7
Watcher,Chloe Okuno,96mn,2022,6,6,3,3,10,5,4,4,8,8,4,3,3,6,7,4,9,9,10,8
Under the Skin,Jonatha  Glazer,108mn,2013,6,6,8,3,3,7,6,3,6,5,9,8,9,6,7,3,8,9,3,10
There's Something Wrong with the Children,Roxanne Benjamin,92mn,2023,10,10,7,5,9,4,5,7,8,7,3,10,5,8,5,5,8,7,5,10
I Know What You Did Last Summer,Jim Gillespin,101mn,1997,7,3,10,9,7,10,6,8,6,5,9,3,4,8,10,6,4,9,7,5
Float,Zac Locke,72mn,2022,9,10,4,4,4,7,9,4,8,10,8,9,4,8,7,3,6,3,9,7
The Conjuring,James Wan,112mn,2013,9,4,10,4,8,10,8,4,6,8,6,3,7,3,9,7,8,4,7,7
Morbius,Daniel Espinosa,104mn,2022,3,7,8,3,6,6,8,5,7,6,9,5,8,3,8,9,6,8,8,5
28 Days Later,Danny boyle,113mn,2002,8,9,5,8,4,7,5,8,10,8,8,3,7,8,9,9,7,5,6,6
The Lost Boys,Joel Schumacher,97mn,1987,3,4,9,5,10,7,7,10,8,7,3,7,3,4,9,8,4,10,10,8
Jennifer's Body,Karyn Kusama,102mn,2009,10,4,6,9,7,4,9,9,10,6,9,6,4,8,10,3,7,4,5,7
Scream 4,Wes Craven,111mn,2011,7,3,7,9,9,4,4,7,3,5,8,4,6,10,7,9,4,3,9,7
Knock Knock,Eli Roth,99mn,2015,9,9,9,10,4,8,8,3,7,5,3,5,9,6,6,3,4,3,4,3
Suspiria,Dario Argento,98mn,1977,5,6,7,10,4,4,6,10,5,5,7,7,9,9,8,9,10,4,7,4
The Offering,Oliver Park,93mn,2022,5,5,9,5,4,4,8,3,7,3,10,10,5,7,4,6,7,9,10,8
